id_credit,UNO,DOS,TRES,CUATRO,CINCO,SEIS,SIETE,OCHO,NUEVE,DIEZ,ONCE,DOCE,TRECE,CATORCE,QUINCE
1000098,Moto recuperada,,,,,,,,,,,,,,
1000192,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,,,
1000217,Promesa de Pago,,,,,,,,,,,,,,
1000338,Contacto con Tercero,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Negativa de pago,Sin contacto (no atienden),Pago recibido,Sin contacto (no atienden),Contacto con Tercero,,,,,
1000362,Promesa de Pago,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,,
1000514,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,
1000533,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1000712,Pago recibido,Sin contacto (no atienden),Pago recibido,Pago recibido,Pago recibido,Contacto con Tercero,,,,,,,,,
1000849,Promesa de Pago,,,,,,,,,,,,,,
1000895,Pago recibido,Promesa de Pago,Sin contacto (no atienden),No contesta la llamada,Sin contacto (no atienden),Contacto con Tercero,,,,,,,,,
1000980,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,
1001048,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago
1001100,No contesta la llamada,Contacto con Tercero,Sin contacto (no atienden),Sin contacto (no atienden),No contesta la llamada,No contesta la llamada,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Promesa de Pago,Promesa de Pago,Sin contacto (no atienden),
1001191,Pago recibido,Promesa de Pago,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,
1001284,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,,,,,,,
1001292,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Promesa de Pago,,,,,,,,,,
1001339,Pago recibido,Contacto con Tercero,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,,,
1001469,Pago recibido,Promesa de Pago,,,,,,,,,,,,,
