id_credito;tipo_error;detalle
6536;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
89108;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
437884;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
463036;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
477759;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
727083;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
834393;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
847984;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1238776;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1363898;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1368493;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1568051;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1619084;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1651038;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1667195;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1712603;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1742223;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1797699;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1876785;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
1884674;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
2030307;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
2077512;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
2083069;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
2124489;"Error API S2";"Respuesta S2 sin estadoCuenta (status=ERROR_ACCESO; mensaje=S2Rest\Main\Controllers\S2SPARTASECRETREDACTEDController handler class cannot be loaded)"
