id_gastos_cobranza;Id_credito;parcialidad_actual;parcialidad_calculada;estatus;detalle;semana;periodo_inicio;periodo_fin;monto_local;nota_fecha_s2;nota_monto_s2;nota_indice_s2;cuota_id_cargo;cuota_fecha_vencimiento;cuota_concepto;metodo_calculo
7192;609929;62;62;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 5-2026";2026-01-26;2026-02-01;250.00;;;;62;2026-01-26;"CUOTA SEMANAL 62 DE 130";cuota_en_periodo_gdc
155109;609929;64;64;sin_cambio;"La parcialidad actual ya coincide";"Semana 07-2026";2026-02-09;2026-02-15;250.00;2026-02-12;250.00;1;64;2026-02-09;"CUOTA SEMANAL 64 DE 130";cuota_en_periodo_gdc
179559;609929;65;65;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 08-2026";2026-02-16;2026-02-22;250.00;;;;65;2026-02-16;"CUOTA SEMANAL 65 DE 130";cuota_en_periodo_gdc
204403;609929;66;66;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 09-2026";2026-02-23;2026-03-01;250.00;;;;66;2026-02-23;"CUOTA SEMANAL 66 DE 130";cuota_en_periodo_gdc
230146;609929;67;67;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 10-2026";2026-03-02;2026-03-08;250.00;;;;67;2026-03-02;"CUOTA SEMANAL 67 DE 130";cuota_en_periodo_gdc
254426;609929;67;68;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 11-2026";2026-03-09;2026-03-15;250.00;;;;68;2026-03-09;"CUOTA SEMANAL 68 DE 130";cuota_en_periodo_gdc
278956;609929;68;69;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;69;2026-03-16;"CUOTA SEMANAL 69 DE 130";cuota_en_periodo_gdc
305292;609929;69;70;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;70;2026-03-23;"CUOTA SEMANAL 70 DE 130";cuota_en_periodo_gdc
326975;609929;70;71;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;71;2026-03-30;"CUOTA SEMANAL 71 DE 130";cuota_en_periodo_gdc
360963;609929;10;73;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 16-2026";2026-04-13;2026-04-19;250.00;;;;73;2026-04-13;"CUOTA SEMANAL 73 DE 130";cuota_en_periodo_gdc
378669;609929;11;74;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 17-2026";2026-04-20;2026-04-26;250.00;;;;74;2026-04-20;"CUOTA SEMANAL 74 DE 130";cuota_en_periodo_gdc
131338;610277;62;63;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 06-2026";2026-02-02;2026-02-08;250.00;;;;63;2026-02-02;"CUOTA SEMANAL 63 DE 104";cuota_en_periodo_gdc
179560;610277;64;65;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 08-2026";2026-02-16;2026-02-22;250.00;;;;65;2026-02-16;"CUOTA SEMANAL 65 DE 104";cuota_en_periodo_gdc
204404;610277;65;66;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 09-2026";2026-02-23;2026-03-01;250.00;;;;66;2026-02-23;"CUOTA SEMANAL 66 DE 104";cuota_en_periodo_gdc
344341;610277;71;72;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 15-2026";2026-04-06;2026-04-12;250.00;;;;72;2026-04-06;"CUOTA SEMANAL 72 DE 104";cuota_en_periodo_gdc
378670;610277;5;74;ok;"Requiere ajuste de parcialidad";"Semana 17-2026";2026-04-20;2026-04-26;250.00;2026-04-21;250.00;1;74;2026-04-20;"CUOTA SEMANAL 74 DE 104";cuota_en_periodo_gdc
204405;610280;65;66;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 09-2026";2026-02-23;2026-03-01;250.00;;;;66;2026-02-23;"CUOTA SEMANAL 66 DE 156";cuota_en_periodo_gdc
278957;610280;68;69;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;69;2026-03-16;"CUOTA SEMANAL 69 DE 156";cuota_en_periodo_gdc
305293;610280;69;70;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;70;2026-03-23;"CUOTA SEMANAL 70 DE 156";cuota_en_periodo_gdc
326976;610280;70;71;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;71;2026-03-30;"CUOTA SEMANAL 71 DE 156";cuota_en_periodo_gdc
360964;610280;5;73;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 16-2026";2026-04-13;2026-04-19;250.00;;;;73;2026-04-13;"CUOTA SEMANAL 73 DE 156";cuota_en_periodo_gdc
305294;610320;69;70;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;70;2026-03-23;"CUOTA SEMANAL 70 DE 104";cuota_en_periodo_gdc
131339;610377;57;58;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 06-2026";2026-02-02;2026-02-08;250.00;;;;58;2026-02-02;"CUOTA SEMANAL 58 DE 104";cuota_en_periodo_gdc
230147;610377;61;62;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 10-2026";2026-03-02;2026-03-08;250.00;;;;62;2026-03-02;"CUOTA SEMANAL 62 DE 104";cuota_en_periodo_gdc
254427;610377;62;63;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 11-2026";2026-03-09;2026-03-15;250.00;;;;63;2026-03-09;"CUOTA SEMANAL 63 DE 104";cuota_en_periodo_gdc
305295;610377;64;65;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;65;2026-03-23;"CUOTA SEMANAL 65 DE 104";cuota_en_periodo_gdc
7193;610378;62;62;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 5-2026";2026-01-26;2026-02-01;250.00;;;;62;2026-01-26;"CUOTA SEMANAL 62 DE 104";cuota_en_periodo_gdc
131340;610378;62;63;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 06-2026";2026-02-02;2026-02-08;250.00;;;;63;2026-02-02;"CUOTA SEMANAL 63 DE 104";cuota_en_periodo_gdc
155110;610378;63;64;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 07-2026";2026-02-09;2026-02-15;250.00;;;;64;2026-02-09;"CUOTA SEMANAL 64 DE 104";cuota_en_periodo_gdc
179561;610378;64;65;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 08-2026";2026-02-16;2026-02-22;250.00;;;;65;2026-02-16;"CUOTA SEMANAL 65 DE 104";cuota_en_periodo_gdc
204406;610378;65;66;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 09-2026";2026-02-23;2026-03-01;250.00;;;;66;2026-02-23;"CUOTA SEMANAL 66 DE 104";cuota_en_periodo_gdc
230148;610378;66;67;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 10-2026";2026-03-02;2026-03-08;250.00;;;;67;2026-03-02;"CUOTA SEMANAL 67 DE 104";cuota_en_periodo_gdc
254428;610378;67;68;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 11-2026";2026-03-09;2026-03-15;250.00;;;;68;2026-03-09;"CUOTA SEMANAL 68 DE 104";cuota_en_periodo_gdc
278958;610378;68;69;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;69;2026-03-16;"CUOTA SEMANAL 69 DE 104";cuota_en_periodo_gdc
305296;610378;69;70;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;70;2026-03-23;"CUOTA SEMANAL 70 DE 104";cuota_en_periodo_gdc
326977;610378;70;71;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;71;2026-03-30;"CUOTA SEMANAL 71 DE 104";cuota_en_periodo_gdc
344342;610378;71;72;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 15-2026";2026-04-06;2026-04-12;250.00;;;;72;2026-04-06;"CUOTA SEMANAL 72 DE 104";cuota_en_periodo_gdc
360965;610378;12;73;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 16-2026";2026-04-13;2026-04-19;250.00;;;;73;2026-04-13;"CUOTA SEMANAL 73 DE 104";cuota_en_periodo_gdc
