id_gastos_cobranza;Id_credito;parcialidad_actual;parcialidad_calculada;estatus;detalle;semana;periodo_inicio;periodo_fin;monto_local;nota_fecha_s2;nota_monto_s2;nota_indice_s2;cuota_id_cargo;cuota_fecha_vencimiento;cuota_concepto;metodo_calculo
246530;1785381;1;2;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 10-2026";2026-03-02;2026-03-08;250.00;;;;2;2026-03-02;"CUOTA SEMANAL 2 DE 104";cuota_en_periodo_gdc
296643;1785381;3;4;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;4;2026-03-16;"CUOTA SEMANAL 4 DE 104";cuota_en_periodo_gdc
322215;1785381;4;5;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;5;2026-03-23;"CUOTA SEMANAL 5 DE 104";cuota_en_periodo_gdc
339722;1785381;5;6;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 14-2026";2026-03-30;2026-04-05;250.00;;;;6;2026-03-30;"CUOTA SEMANAL 6 DE 104";cuota_en_periodo_gdc
356096;1785381;6;7;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 15-2026";2026-04-06;2026-04-12;250.00;;;;7;2026-04-06;"CUOTA SEMANAL 7 DE 104";cuota_en_periodo_gdc
390756;1785381;6;9;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 17-2026";2026-04-20;2026-04-26;250.00;;;;9;2026-04-20;"CUOTA SEMANAL 9 DE 104";cuota_en_periodo_gdc
246531;1785393;0;1;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 10-2026";2026-03-02;2026-03-08;250.00;;;;1;2026-03-02;"CUOTA SEMANAL 1 DE 52";cuota_en_periodo_gdc
270795;1785393;1;2;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 11-2026";2026-03-09;2026-03-15;250.00;;;;2;2026-03-09;"CUOTA SEMANAL 2 DE 52";cuota_en_periodo_gdc
296644;1785393;2;3;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 12-2026";2026-03-16;2026-03-22;250.00;;;;3;2026-03-16;"CUOTA SEMANAL 3 DE 52";cuota_en_periodo_gdc
322216;1785393;2;4;sin_nota_s2;"No se encontro nota GDC S2 compatible";"Semana 13-2026";2026-03-23;2026-03-29;250.00;;;;4;2026-03-23;"CUOTA SEMANAL 4 DE 52";cuota_en_periodo_gdc
