tipo,dato,total_o_estatus,ids_o_numero_empleado
numero_empleado_duplicado,1118,2,"773:Baja, 2217:Baja"
numero_empleado_duplicado,1382,2,"1547:Baja, 2220:Baja"
numero_empleado_duplicado,1629,2,"713:Baja, 2216:Baja"
numero_empleado_duplicado,1745,2,"944:Baja, 2219:Baja"
numero_empleado_duplicado,2,2,"2:Activo, 2212:Activo"
numero_empleado_duplicado,999999679,2,"1107:Activo, 1544:Baja"
numero_empleado_duplicado,999999681,2,"1109:Activo, 1551:Baja"
numero_empleado_duplicado,999999682,2,"1110:Activo, 1571:Baja"
numero_empleado_duplicado,999999683,2,"1111:Activo, 1633:Baja"
numero_empleado_duplicado,999999684,2,"1112:Activo, 1658:Baja"
numero_empleado_duplicado,999999685,2,"1113:Activo, 1667:Baja"
numero_empleado_duplicado,999999686,2,"1114:Activo, 1668:Baja"
numero_empleado_duplicado,999999687,2,"1115:Activo, 1669:Baja"
numero_empleado_duplicado,999999688,2,"1116:Activo, 1670:Baja"
numero_empleado_duplicado,999999689,2,"1117:Activo, 1671:Baja"
numero_empleado_duplicado,999999690,2,"1118:Activo, 1672:Baja"
numero_empleado_duplicado,999999691,2,"1119:Activo, 1673:Baja"
numero_empleado_duplicado,999999694,2,"1123:Activo, 1676:Baja"
numero_empleado_duplicado,999999695,2,"1124:Activo, 1677:Baja"
numero_empleado_duplicado,999999696,2,"1125:Activo, 1678:Baja"
numero_empleado_duplicado,999999697,2,"1126:Activo, 1679:Baja"
numero_empleado_duplicado,999999698,2,"1127:Activo, 1680:Baja"
numero_empleado_duplicado,999999699,2,"1128:Activo, 1681:Baja"
numero_empleado_duplicado,999999702,2,"1131:Activo, 1684:Baja"
numero_empleado_duplicado,999999703,2,"1132:Activo, 1685:Baja"
numero_empleado_duplicado,999999704,2,"1133:Activo, 1686:Baja"
numero_empleado_duplicado,999999705,2,"1134:Activo, 1687:Baja"
numero_empleado_duplicado,999999707,2,"1138:Activo, 1689:Baja"
numero_empleado_duplicado,999999708,2,"1139:Activo, 1690:Baja"
numero_empleado_duplicado,999999709,2,"1140:Activo, 1691:Baja"
numero_empleado_duplicado,999999710,2,"1145:Activo, 1692:Baja"
numero_empleado_duplicado,999999711,2,"1146:Activo, 1693:Baja"
numero_empleado_duplicado,999999712,2,"1147:Activo, 1694:Baja"
numero_empleado_duplicado,999999713,2,"1148:Activo, 1695:Baja"
numero_empleado_duplicado,999999714,2,"1149:Activo, 1696:Baja"
numero_empleado_duplicado,999999718,2,"1155:Activo, 1700:Baja"
numero_empleado_duplicado,999999719,2,"1156:Activo, 1701:Baja"
numero_empleado_duplicado,999999720,2,"1157:Activo, 1702:Baja"
numero_empleado_duplicado,999999721,2,"1158:Activo, 1703:Baja"
numero_empleado_duplicado,999999722,2,"1160:Activo, 1704:Baja"
numero_empleado_duplicado,999999724,2,"1163:Activo, 1706:Baja"
numero_empleado_duplicado,999999725,2,"1164:Activo, 1707:Baja"
numero_empleado_duplicado,999999726,2,"1165:Activo, 1708:Baja"
numero_empleado_duplicado,999999727,2,"1166:Activo, 1709:Baja"
numero_empleado_duplicado,999999728,2,"1167:Activo, 1710:Baja"
numero_empleado_duplicado,999999729,2,"1168:Activo, 1711:Baja"
numero_empleado_duplicado,999999730,2,"1170:Activo, 1712:Baja"
numero_empleado_duplicado,999999731,2,"1171:Activo, 1713:Baja"
numero_empleado_duplicado,999999732,2,"1172:Activo, 1714:Baja"
numero_empleado_duplicado,999999733,2,"1173:Activo, 1715:Baja"
numero_empleado_duplicado,999999735,2,"1175:Activo, 1717:Baja"
numero_empleado_duplicado,999999736,2,"1176:Activo, 1718:Baja"
numero_empleado_duplicado,999999737,2,"1177:Activo, 1719:Baja"
numero_empleado_duplicado,999999738,2,"1178:Activo, 1720:Baja"
numero_empleado_duplicado,999999739,2,"1179:Activo, 1721:Baja"
numero_empleado_duplicado,999999742,2,"1182:Activo, 1724:Baja"
numero_empleado_duplicado,999999743,2,"1183:Activo, 1725:Baja"
numero_empleado_duplicado,999999744,2,"1184:Activo, 1726:Baja"
numero_empleado_duplicado,999999745,2,"1185:Activo, 1727:Baja"
numero_empleado_duplicado,999999746,2,"1186:Activo, 1728:Baja"
numero_empleado_duplicado,999999748,2,"1188:Activo, 1730:Baja"
numero_empleado_duplicado,999999749,2,"1190:Activo, 1731:Baja"
numero_empleado_duplicado,999999750,2,"1191:Activo, 1732:Baja"
numero_empleado_duplicado,999999751,2,"1192:Activo, 1733:Baja"
numero_empleado_duplicado,999999752,2,"1193:Activo, 1734:Baja"
numero_empleado_duplicado,999999754,2,"1195:Activo, 1736:Baja"
numero_empleado_duplicado,999999755,2,"1196:Activo, 1737:Baja"
numero_empleado_duplicado,999999756,2,"1197:Activo, 1738:Baja"
numero_empleado_duplicado,999999757,2,"1198:Activo, 1739:Baja"
numero_empleado_duplicado,999999758,2,"1200:Activo, 1740:Baja"
numero_empleado_duplicado,999999760,2,"1202:Baja, 1742:Baja"
numero_empleado_duplicado,999999762,2,"1204:Baja, 1744:Baja"
numero_empleado_duplicado,999999769,2,"1211:Activo, 1751:Baja"
numero_empleado_duplicado,999999770,2,"1212:Activo, 1752:Baja"
numero_empleado_duplicado,999999771,2,"1215:Activo, 1753:Baja"
numero_empleado_duplicado,999999772,2,"1216:Activo, 1754:Baja"
numero_empleado_duplicado,999999775,2,"1219:Activo, 1757:Baja"
numero_empleado_duplicado,999999776,2,"1220:Activo, 1758:Baja"
numero_empleado_duplicado,999999777,2,"1221:Activo, 1759:Baja"
numero_empleado_duplicado,999999778,2,"1222:Activo, 1760:Baja"
numero_empleado_duplicado,999999779,2,"1223:Activo, 1761:Baja"
