id_agencia,clave_agencia,nombre_agencia,latitud,longitud,ok,query,display_name,source,error
14,SUCURSAL_322,ZMOTO CHAMPOTON,,,0,,,,"arcgis:ZMOTO CHAMPOTON, Mexico => demasiado_generico:Locality:90 | demasiado_generico:Locality:90 | demasiado_generico:Locality:90 | demasiado_generico:Locality:90 | demasiado_generico:Locality:85.5 | arcgis:ZMOTO CHAMPOTON, entre Calle 8, Col. Ejido Paraíso (justo enfrente de la gasolinera), C.P. 24400, 24400, Mexico => score_bajo:79.2 | score_bajo:79 | score_bajo:77 | score_bajo:76.12 | score_bajo:76.12 | arcgis:Calle 26 s/n, entre Calle 8, Col. Ejido Paraíso (justo enfrente de la gasolinera), C.P. 24400,, Mexico => calle_generica:StreetName:81.8 | score_bajo:79.2 | score_bajo:79 | score_bajo:79 | score_bajo:79 | arcgis:ZMOTO CHAMPOTON, Calle 26 s/n, entre Calle 8, Col. Ejido Paraíso (justo enfrente de la gasolinera), C.P. 24400,, Mexico => score_bajo:79.2 | score_bajo:79.16 | cp_no_coincide:24402 | score_bajo:77.58 | score_bajo:77.58 | nominatim:ZMOTO CHAMPOTON, Mexico => sin_resultado | nominatim:ZMOTO CHAMPOTON, entre Calle 8, Col. Ejido Paraíso (justo enfrente de la gasolinera), C.P. 24400, 24400, Mexico => sin_resultado | nominatim:Calle 26 s/n, entre Calle 8, Col. Ejido Paraíso (justo enfrente de la gasolinera), C.P. 24400,, Mexico => sin_resultado | nominatim:ZMOTO CHAMPOTON, Calle 26 s/n, entre Calle 8, Col. Ejido Paraíso (justo enfrente de la gasolinera), C.P. 24400,, Mexico => sin_resultado"
24,SUCURSAL_634,BAJAJ VILLAFLORES,16.69400513,-93.72288931,1,"30470, Calle Quinta Pte. 127, Reforma, 30479 Villaflores, Chis., Mexico","Calle Quinta Sur 127, Central, Cintalapa De Figueroa, Chiapas, 30400, MEX",arcgis,
71,SUCURSAL_290,VENTO AMERICA,19.02494082,-98.21166660,1,"72440 51 Pte Local 10 #505 Plaza America Col, Residencial Boulevares, 72440 Heroica Puebla de Zaragoza, Pue., Mexico","VOULEVARES, Calle De Madrid 4920, Gabriel Pastor 2da. Sección, Heroica Puebla De Zaragoza, Puebla, 72425, MEX",arcgis,
94,SUCURSAL_1411,LONG MOTOR,,,0,,,,"arcgis:LONG MOTOR, Mexico => estado_no_coincide:Baja California Sur | estado_no_coincide:Baja California Sur | estado_no_coincide:Nuevo León | estado_no_coincide:Sonora | estado_no_coincide:Sonora | arcgis:LONG MOTOR, cumbres de conin, 76246 Mexico, Qro., Queretaro, 10271, Mexico => cp_no_coincide:76246 | score_bajo:79.55 | score_bajo:79.2 | score_bajo:79.2 | score_bajo:79.2 | arcgis:ANILLO VIAL ii 10271 83, microparque pyme 03, cumbres de conin, 76246 Mexico, Qro., Mexico => cp_no_coincide:76246 | cp_no_coincide:76246 | score_bajo:75 | score_bajo:75 | score_bajo:75 | arcgis:LONG MOTOR, ANILLO VIAL ii 10271 83, microparque pyme 03, cumbres de conin, 76246 Mexico, Qro., Mexico => cp_no_coincide:76246 | cp_no_coincide:76246 | score_bajo:75 | score_bajo:75 | score_bajo:75 | nominatim:LONG MOTOR, Mexico => sin_resultado | nominatim:LONG MOTOR, cumbres de conin, 76246 Mexico, Qro., Queretaro, 10271, Mexico => sin_resultado | nominatim:ANILLO VIAL ii 10271 83, microparque pyme 03, cumbres de conin, 76246 Mexico, Qro., Mexico => sin_resultado | nominatim:LONG MOTOR, ANILLO VIAL ii 10271 83, microparque pyme 03, cumbres de conin, 76246 Mexico, Qro., Mexico => sin_resultado"
335,SUCURSAL_822,BAJAJ MENDEZ,,,0,,,,"arcgis:BAJAJ MENDEZ, Mexico => estado_no_coincide:Tamaulipas | estado_no_coincide:Baja California | estado_no_coincide:Baja California | estado_no_coincide:Baja California | estado_no_coincide:San Luis Potosí | arcgis:BAJAJ MENDEZ, entre Castillo, 86077 Villahermosa, Tab., Tabasco, 86077, Mexico => score_bajo:79.2 | estado_no_coincide:Zacatecas | score_bajo:79.2 | estado_no_coincide:Zacatecas | score_bajo:74.25 | arcgis:Av. Gregorio Mendez, C. Juan Álvarez 726, entre Castillo, 86077 Villahermosa, Tab., Mexico => cp_no_coincide:86029 | cp_no_coincide:86029 | cp_no_coincide:86019 | cp_no_coincide:86019 | cp_no_coincide:86000 | arcgis:BAJAJ MENDEZ, Av. Gregorio Mendez, C. Juan Álvarez 726, entre Castillo, 86077 Villahermosa, Tab., Mexico => cp_no_coincide:86029 | cp_no_coincide:86029 | cp_no_coincide:86019 | cp_no_coincide:86019 | demasiado_generico:Locality:80 | nominatim:BAJAJ MENDEZ, Mexico => sin_resultado | nominatim:BAJAJ MENDEZ, entre Castillo, 86077 Villahermosa, Tab., Tabasco, 86077, Mexico => sin_resultado | nominatim:Av. Gregorio Mendez, C. Juan Álvarez 726, entre Castillo, 86077 Villahermosa, Tab., Mexico => sin_resultado | nominatim:BAJAJ MENDEZ, Av. Gregorio Mendez, C. Juan Álvarez 726, entre Castillo, 86077 Villahermosa, Tab., Mexico => sin_resultado"
564,SUCURSAL_314,VENTO TEJERIA,,,0,,,,"arcgis:VENTO TEJERIA, Mexico => estado_no_coincide:Chiapas | estado_no_coincide:Chiapas | estado_no_coincide:Chiapas | estado_no_coincide:Guerrero | estado_no_coincide:Guerrero | arcgis:VENTO TEJERIA, Tejería, 91726 Veracruz, Ver., Veracruz, 91726, Mexico => demasiado_generico:Postal:85.93 | score_bajo:78.04 | arcgis:Avenida Carretera Federal Veracruz-Xalapa 845, Tejería, 91726 Veracruz, Ver., Mexico => demasiado_generico:Postal:82 | arcgis:VENTO TEJERIA, Avenida Carretera Federal Veracruz-Xalapa 845, Tejería, 91726 Veracruz, Ver., Mexico => demasiado_generico:Postal:82 | nominatim:VENTO TEJERIA, Mexico => sin_resultado | nominatim:VENTO TEJERIA, Tejería, 91726 Veracruz, Ver., Veracruz, 91726, Mexico => sin_resultado | nominatim:Avenida Carretera Federal Veracruz-Xalapa 845, Tejería, 91726 Veracruz, Ver., Mexico => sin_resultado | nominatim:VENTO TEJERIA, Avenida Carretera Federal Veracruz-Xalapa 845, Tejería, 91726 Veracruz, Ver., Mexico => sin_resultado"
648,SUCURSAL_1744,TVS PACHUCA,,,0,,,,"arcgis:TVS PACHUCA, Mexico => demasiado_generico:Locality:92.5 | estado_no_coincide:Campeche | estado_no_coincide:Chihuahua | estado_no_coincide:San Luis Potosí | estado_no_coincide:Veracruz De Ignacio De La Llave | arcgis:TVS PACHUCA, BLVD SANTA CATARINA 144 HACIENDA LA HERRADURA 42082 PACHIUCA HGO, Hidalgo, 42082, Mexico => demasiado_generico:Postal:80 | estado_no_coincide:Nuevo León | estado_no_coincide:Michoacán de Ocampo | estado_no_coincide:Tamaulipas | estado_no_coincide:Coahuila De Zaragoza | arcgis:BLVD SANTA CATARINA 144 HACIENDA LA HERRADURA 42082 PACHIUCA HGO, Mexico => cp_no_coincide:42079 | cp_no_coincide:42030 | cp_no_coincide:42030 | cp_no_coincide:42039 | cp_no_coincide:42088 | arcgis:TVS PACHUCA, BLVD SANTA CATARINA 144 HACIENDA LA HERRADURA 42082 PACHIUCA HGO, Mexico => cp_no_coincide:42079 | score_bajo:77.18 | cp_no_coincide:42030 | cp_no_coincide:42030 | cp_no_coincide:42039 | nominatim:TVS PACHUCA, Mexico => sin_resultado | nominatim:TVS PACHUCA, BLVD SANTA CATARINA 144 HACIENDA LA HERRADURA 42082 PACHIUCA HGO, Hidalgo, 42082, Mexico => sin_resultado | nominatim:BLVD SANTA CATARINA 144 HACIENDA LA HERRADURA 42082 PACHIUCA HGO, Mexico => sin_resultado | nominatim:TVS PACHUCA, BLVD SANTA CATARINA 144 HACIENDA LA HERRADURA 42082 PACHIUCA HGO, Mexico => sin_resultado"
758,SUCURSAL_2611,CFLITE PRADERA,18.94014350,-99.23581991,1,"Blvd. Vicente Guerrero Km 274, Plaza Pradera, Chilpancingo, Guerrero, C.P. 39097 / Calle Melchor Ocampo 104, La Pradera, 62170 Cuernavaca, Mor., Mexico","Calle Melchor Ocampo 104, El Empleado, Cuernavaca, Morelos, 62250, MEX",arcgis,
800,SUCURSAL_323,ZMOTO KANASIN,,,0,,,,"arcgis:ZMOTO KANASIN, Mexico => demasiado_generico:Locality:88.89 | demasiado_generico:Locality:88.89 | demasiado_generico:Locality:88.89 | demasiado_generico:Locality:88.89 | demasiado_generico:Locality:88.89 | arcgis:ZMOTO KANASIN, C Xelpac Cuahutemoc SN CP 97370 Col Centro Kanasin Yucatán, 97370, Mexico => demasiado_generico:Postal:82 | arcgis:C Xelpac Cuahutemoc SN CP 97370 Col Centro Kanasin Yucatán, Mexico => demasiado_generico:Postal:81.18 | arcgis:ZMOTO KANASIN, C Xelpac Cuahutemoc SN CP 97370 Col Centro Kanasin Yucatán, Mexico => demasiado_generico:Postal:81.18 | score_bajo:74.3 | score_bajo:74.3 | cp_no_coincide:97376 | cp_no_coincide:97375 | nominatim:ZMOTO KANASIN, Mexico => sin_resultado | nominatim:ZMOTO KANASIN, C Xelpac Cuahutemoc SN CP 97370 Col Centro Kanasin Yucatán, 97370, Mexico => sin_resultado | nominatim:C Xelpac Cuahutemoc SN CP 97370 Col Centro Kanasin Yucatán, Mexico => sin_resultado | nominatim:ZMOTO KANASIN, C Xelpac Cuahutemoc SN CP 97370 Col Centro Kanasin Yucatán, Mexico => sin_resultado"
1070,SUCURSAL_431,BAJAJ DIAZ,,,0,,,,"arcgis:BAJAJ DIAZ, Mexico => estado_no_coincide:Nuevo León | estado_no_coincide:Baja California | estado_no_coincide:Chihuahua | estado_no_coincide:Chihuahua | estado_no_coincide:Guanajuato | arcgis:BAJAJ DIAZ, San Sebastian Tutla, 71320 Oaxaca de Juárez, Oax., Oaxaca, 71320, Mexico => demasiado_generico:Locality:81.18 | demasiado_generico:Postal:80 | score_bajo:79.2 | score_bajo:79.2 | score_bajo:79.2 | arcgis:Carr. Internacional Km.7.5, San Sebastian Tutla, 71320 Oaxaca de Juárez, Oax., Mexico => calle_generica:StreetName:92.05 | cp_no_coincide:71242 | cp_no_coincide:68050 | cp_no_coincide:68050 | cp_no_coincide:68080 | arcgis:BAJAJ DIAZ, Carr. Internacional Km.7.5, San Sebastian Tutla, 71320 Oaxaca de Juárez, Oax., Mexico => calle_generica:StreetName:88.8 | cp_no_coincide:71242 | cp_no_coincide:68050 | cp_no_coincide:68050 | cp_no_coincide:68080 | nominatim:BAJAJ DIAZ, Mexico => sin_resultado | nominatim:BAJAJ DIAZ, San Sebastian Tutla, 71320 Oaxaca de Juárez, Oax., Oaxaca, 71320, Mexico => sin_resultado | nominatim:Carr. Internacional Km.7.5, San Sebastian Tutla, 71320 Oaxaca de Juárez, Oax., Mexico => sin_resultado | nominatim:BAJAJ DIAZ, Carr. Internacional Km.7.5, San Sebastian Tutla, 71320 Oaxaca de Juárez, Oax., Mexico => sin_resultado"
