fk_sucursal	distribuidor_id	sucursal	direccion_sucursal	coordenadas	latitud	longitud	activo
1	1078	Corporativo	NULL	NULL	NULL	NULL	1
6	1078	CIUDAD DE MEXICO	NULL	NULL	NULL	NULL	1
15	749	BAJAJ SAN MARTIN TEXMELUCAN	Libertad Norte	NULL	19.2861500	-98.4401800	1
16	1019	BAJAJ ATOTONILCO	Revolución	NULL	20.5501575	-102.5083101	1
17	692	BAJAJ LA BARCA	Adolfo Ruiz Cortines	NULL	20.2899900	-102.5461300	1
18	692	BAJAJ SALTO	Heliodoro Hernández Loza 436, Potrero Nuevo, 45680 El Salto, Jal.	NULL	NULL	NULL	1
19	570	AZCAPOTZALCO	Av. Prof.ª Eulalia Guzmán	NULL	19.4862820	-99.2169120	1
20	570	BAJAJ ATIZAPAN	Av. Adolfo Ruiz Cortines 202, Las Alamedas, 52979 Cdad. López Mateos, Méx.	NULL	19.5568800	-99.2453700	1
21	694	BAJAJ SATELITE	Hacienda de la Gavia 1-B, Bosques de Echegaray, 53310 Mexico, Méx.	NULL	19.4884800	-99.2361300	1
22	570	SOR JUANA	Av Sor Juana Inés de La Cruz 327, Centro Industrial Tlalnepantla, 54030 Mexico, Méx.	NULL	19.5399876	-99.2097730	1
23	695	BAJAJ LAGO DE GUADALUPE	Av Lago de Guadalupe S/N, Margarita Maza de Juárez, 52926 Cdad. López Mateos, Méx.	NULL	19.5854000	-99.2279000	1
24	613	BAJAJ NAUCALPAN	San Andrés Atoto 35-Local 4, San Esteban, 53550 Naucalpan de Juárez, Méx.	NULL	19.4556640	-99.2338480	1
25	696	BAJAJ NICOLAS ROMERO	Avenida 1 de Mayo Manzana 033 Lote 20, Hidalgo, 54434 Cdad. Nicolás Romero, Méx.	NULL	19.6196400	-99.3154400	1
27	857	BAJAJ QUINTANA PONIENTE	PROL BERNARDO QUINTANA	NULL	20.6292000	-100.4670000	1
28	697	BAJAJ TEPOTZOTLAN	Paseo de las Bugambilias 31 - 286, San Mateo Xoloc, 54600 Estado de México, Méx.	NULL	19.7126528	-99.2191222	1
29	729	BAJAJ TLAQUEPAQUE	Blvd. Gral. Marcelino García Barragán	NULL	20.6454506	-103.3202669	1
30	590	BAJAJ VALLE DE BRAVO	5WX2+53, De Guadalupe, 51200 Valle de Bravo, Méx.	NULL	19.1979275	-100.0997792	1
32	976	BAJAJ ZAPOTLANEJO	AV. GUADALUPE VICTORIA C.C. ZAPOTLANEJO # S/N LOC. 8 ZONA E, SAGRADO CORAZON, CP45430,  ZAPOTLANEJO , JALISCO.	20.37.19N - 103.03.55W	20.6216902	-103.0651009	1
33	742	VENTO CAMELIAS	Periférico Paseo de la República	NULL	19.6813833	-101.1873936	1
34	742	VENTO CHAPULTEPEC	Periférico Paseo de la República	NULL	19.6889166	-101.1651843	1
35	742	VENTO MORELIA CHAPULTEPEC	Periférico Paseo de la República	NULL	19.6937550	-101.1737640	1
36	742	VENTO MORELIA PERIFERICO	periférico paseo de la república #639 col Félix ireta	NULL	19.6813833	-101.1873936	1
37	604	CARABELA COACALCO	Carlos Pichardo Cruz Nº37, San Rafael, 55719 San Francisco Coacalco, Méx.	NULL	19.6472600	-99.0860300	1
41	822	EVOLUCION YAMAHA	Carr Federal México-Cuautla 807, Casco de San Juan, 56600 Chalco de Díaz Covarrubias, Méx.	NULL	19.2751000	-98.8830300	1
43	817	MOTOS CENTRAL	Eje Central Lázaro Cárdenas	NULL	19.3869000	-99.1469100	1
44	977	BAJAJ 8 DE JULIO	AV 8 DE JULIO	NULL	20.6316958	-103.3681383	1
