fk_sucursal,sucursal,latitud,longitud,activo
1,Corporativo,,,1
6,CIUDAD DE MEXICO,,,1
18,BAJAJ SALTO,,,1
79,BAJAJ ATLIXCO,,,1
82,BAJAJ MORELIA MADERO,,,1
88,BAJAJ LAS AGUILAS,,,1
89,BAJAJ TOLUCA CENTRO,,,1
91,BAJAJ TEZONTEPEC,,,1
94,HONDA DOLORES HIDALGO,,,1
95,HONDA SAN FELIPE,,,1
143,TVS TULTEPEC,,,1
164,MULTIMOTOS XOCHIMILCO,,,1
259,MULTIMARCAS SANTIAGO 59,,,1
261,MULTIMARCAS AVIACION,,,1
270,BAJAJ TIJUANA,,,1
275,TVS QUERETARO,,,1
381,MORELIA CAMPESTRE,,,1
473,MOTOMUNDI,,,1
532,ZONTES HIDALGO,,,1
554,MF BAJAJ COMALCALCO,,,1
555,MF BAJAJ VILLAHERMOSA PERIFERICO,,,1
575,MULTI COATZACOALCOS,,,1
589,BAJAJ CENTRO NUEVO LEON,25.6856569,-100.3184216,1
690,TVS TEJERIA,,,1
693,BAJAJ JUCHITAN,,,1
716,MOTORKE GUAMUCHIL,,,1
826,FACIMOTORS HUNUCMA,,,1
839,BICILIFE INSRGENTES SUR,,,1
850,CF MOTO FEDERALISMO,20.6987681,-103.3547,1
852,HONDA LAS AGUILAS COM,,,1
857,TVS LOS TUXTLAS,18.4548722,-95.2161626,1
859,MARTI MOTOR SPORTS AGUASCALIENTES,,,1
860,VENTO TONALA,,,1
890,SUZUKI-SAN JUAN DEL RIO,,,1
952,HONDA TLAJOMULCO,,,1
973,CFMOTO SALTILLO,,,1
976,ITALIKA PARAISO,,,1
981,ITALIKA TONALA,,,1
990,MATRIZ TRECK OMETEPEC,,,1
997,SUZUKI LEON EUROMOTOR,,,1
1009,CF MOTO PATRIA,20.6631137,-103.4242329,1
1024,KTM AGUASCALIENTES,,,1
1038,TRECK HUAMUXTITLAN,,,1
1069,HONDA LA CRUZ,,,1
1072,ALICIA ISSEL GARCIA CALVARIO,,,1
1092,BAJAJ TEXCOCO,,,1
1099,BAJAJ TULYEHUALCO,,,1
1105,CF MOTO ARANDAS,20.7075656,-102.3865694,1
1132,ROYAL ENFIELD TLALPAN,,,1
1133,ROYAL ENFIELD INSURGENTES SUR,,,1
1156,MOTOPLEX POLANCO,,,1
1164,BAJAJ SALAGUA,19.1170407,-104.3290582,1
1168,SMG GUADALAJARA,20.6707305,-103.4080481,1
1236,RYSE ZAMORA,,,1
1251,HONDA MOTOS BC ENSENADA,,,1
1291,BIKER DEALER GROUP XOCHIMILCO,,,1
1298,RIDERMEX,,,1
1302,TVS HUEJUTLA,,,1
1341,TVS TAXQUEÑA,,,1
1345,HONDA RIO VERDE,,,1
1355,QJ MOTOR PERIFERICO NORTE,,,1
1359,DESARROLLO DE FRANQUICIAS JYC,19.0366892,-98.2463486,1
1406,CKLASS TULANCINGO,,,1
1445,CFLITE TLALPAN SUR,,,1
1495,UM CIRCUITO,,,1
1497,UM KANASIN,,,1
1544,YADEA COYOACAN,,,1
1545,VELVER MOTOS MISANTLA,,,1
1546,VELVER MOTOS IXHUACAN,,,1
1551,VELVER MOTOS MARTÍNEZ DE LA TORRE,,,1
1562,CKLASS LEON,21.1190036,-101.6623408,1
1600,CF LITE RIO NILO,20.6325629,-103.2697764,1
1613,MOTOCARROS KIA SUNL,,,1
1649,MOTOCARROS BAJAJ TEXISTEPEC 3R,17.897188,-94.8183139,1
1658,VERAS MMR,,,1
1684,RIDERMEX GUSTAVO BAZ,,,1
1691,CFMOTO LOPEZ MATEO,20.6796615,-103.3847924,1
1693,VMOTORS VALLARTA,20.6741848,-103.3783393,1
1694,QJ MOTORS GUADALAJARA,,,1
1709,LUMI MOTOS MOTOCARROS,18.9238996,-103.8775464,1
1734,TVS TULUM,,,1
1747,BAJAJ TULTITLAN-JO,,,1
1749,BAJAJ IMPULSORA,,,1
1885,MOTO PLUS,,,1
1894,TVS MOTOS XALAPA,19.5253082,-96.9048761,1
1895,SUCURSAL PRUEBA,,,1
1904,MAXIKASH MOTOS CHAMIZAL,19.3905933,-99.2599102,1
1907,MAXIKASH MOTOS SEMINUEVAS LA JOYA,19.2946434,-99.1830868,1
1931,DINAMO GUADALAJARA BANDERA,20.6627799,-103.35011,1
1974,CF MOTO UNIVERSIDAD,,,1
1976,MUEBLERIA ROSVILL SALTILLO,25.4278911,-100.9901313,1
2036,DINAMO TLAJOMULCO,,,1
2071,VELVER MOTOS TEZIUTLAN,19.8246088,-97.3605995,1
2140,CKLASS SALAMANCA,,,1
2159,TRECK MISANTLA,,,1
2199,RIDERMEX CENTRAL DE ABASTO,,,1
2325,VELOCI TONALA,20.6324837,-103.244608,1
2349,ROMANELLI MOTOS,,,1
2386,LOONG IZTAPALAPA,,,1
2388,LOONG ECATEPEC,,,1
2411,MULTIMARCAS JUAN PABLO II,,,1
2449,LOONG MOTORS IXTAPALUCA MKR,,,1
2450,LOONG MOTORS ECATEPEC MKR,,,1
2451,LOONG MOTORS IZTAPALAPA MKR,,,1
2452,LOONG MOTORS GUADALAJARA MKR,20.6667553,-103.3483133,1
2494,LIFAN 21 DE MARZO XALAPA,,,1
2515,RIDERMEX COAPA,,,1
2524,BAJAJ AMERICAS,20.6940365,-103.3734906,1
