id_sucursal,excel_sucursal,Direccion,Coordenadas,latitud,longitud
322,ZMOTO CHAMPOTON," Calle 26 s/n, entre Calle 8, Col. Ejido Paraíso (justo enfrente de la gasolinera), C.P. 24400,",,,
1411,LONG MOTOR,"ANILLO VIAL ii 10271 83, microparque pyme 03, cumbres de conin, 76246 Mexico, Qro.",,,
822,BAJAJ MENDEZ,"Av. Gregorio Mendez, C. Juan Álvarez 726, entre Castillo, 86077 Villahermosa, Tab.",,,
314,VENTO TEJERIA,"Avenida Carretera Federal Veracruz-Xalapa 845, Tejería, 91726 Veracruz, Ver.",,,
1744,TVS PACHUCA,BLVD SANTA CATARINA 144 HACIENDA LA HERRADURA 42082 PACHIUCA HGO,20.071870-98.791242,,
323,ZMOTO KANASIN,C Xelpac Cuahutemoc  SN CP 97370 Col Centro Kanasin Yucatán,,,
431,BAJAJ DIAZ,"Carr. Internacional Km.7.5, San Sebastian Tutla, 71320 Oaxaca de Juárez, Oax.",,,
1460,PARA MOTO DRM ATLACHOLOAYA 3R,"Carretera Federal Cuernavaca–Acapulco Km 104, Atlacholoaya, Xochitepec, Morelos, C.P. 62790 / América Central S/N, Col. Centro, Atlacholoaya, Xochitepec, Morelos",,,
1616,KTM LOS ALTOS,"Carretera Guadalajara–Lagos de Moreno Km 78, Tepatitlán de Morelos, Jalisco, C.P. 47600",,,
1710,AGROTEC DE OCCIDENTE,"Carretera Guadalajara–Nogales Km 32, Tala, Jalisco, C.P. 45300",,,
367,HONDA TALON,"Carretera Internacional 190 No. 210, Santa Lucía del Camino, Oaxaca, C.P. 71240 / Oaxaca Oax MX, Av.Morelos 101, Primera Sección del Casco, 71250 San Antonio de la Cal, Oax.",,,
1008,ZMOTO HECELCHAKAN,"Hecelchakán: Calle 18A S/N entre 21 y 23 Barrio San Antonio C.P. 24800, Campeche. Hopelchén: Calle 18 entre 21 y 23 Centro Hopelchén, Campeche C.P. 24600",,,
1699,VALDEZ BALUARTE SUCURSAL 73,"Hidalgo 112-B, Centro, Reforma, 85800 Navojoa, Son.",,,
267,VENTO NEZA ORIENTE,"Imploración Manzana 499, Col. Aurora Oriente, 57000 Cdad. Nezahualcóyotl, Méx.",,,
1382,GRUPO SHUJIN MOTOS,"INDEPENDENCIA 402-LOCAL 04 Y 05, CENTRO, 90300, CDAD. DE APIZACO, TLAX.",,,
375,HONDA PUERTO ESCONDIDO,"puerto angel mza1 lte 2, fracc puerto del sol puerto escondido fracc puerto del sol, 71980 Puerto Escondido, Oax.",,,
810,MOTOS GT SIMBOLOS,"Símbolos Patrios 1008, Ex Hacienda Candiani, Oaxaca de Juárez, Oaxaca, C.P. 68130 / Primera Priv. de Símbolos Patrios 2-A, 24 de Febrero, 71236 San Antonio de la Cal, Oax.",,,
727,LA BARATA DEL HOGAR CANCUN,"Sucursal Av. Kabah: Av. Kabah, Plaza Kabah 221, entre calle 84 y 88",,,
1540,AODES CUMBRES,,,,
543,ATRUM MTY,,,,
950,CF MOTO CIUDAD VICTORIA,,,,
1215,EL ARCO ALLENDE CARRETERA,,,,
379,MULTIMARCAS PIEDRAS NEGRAS,,,,
2681,XPRESS MOTOS SABINAS,,,,
